DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-04-07,37.54,130.0,10051.25,9.0,117.5,10.125,7.625
2013-04-08,37.54,130.0,10094.875,9.0,123.875,10.375,3.625
2013-04-09,37.54,130.0,10117.142857142857,9.0,127.71428571428571,6.571428571428571,4.428571428571429
2013-04-10,37.54,130.0,10124.5,9.0,131.5,6.25,2.875
2013-04-11,37.54,130.0,10133.857142857143,9.0,129.0,5.75,3.25
2013-04-12,37.54,130.0,10133.875,9.0,124.75,6.375,3.0
2013-04-13,37.54,130.0,10064.0,9.0,135.875,5.875,4.125
2013-04-14,37.54,130.0,10051.833333333334,9.0,140.71428571428572,7.285714285714286,4.285714285714286
2013-04-15,37.54,130.0,10072.0,9.0,140.375,5.625,2.75
2013-04-16,37.54,130.0,10057.833333333334,9.0,138.71428571428572,6.428571428571429,3.857142857142857
2013-04-17,37.54,130.0,10123.875,9.0,136.375,6.125,2.5
2013-04-18,37.54,130.0,10133.375,9.0,131.875,5.125,2.625
2013-04-19,37.54,130.0,10192.625,9.0,129.0,4.75,1.5
2013-04-20,37.54,130.0,10168.625,9.0,129.25,3.75,1.0
2013-04-21,37.54,130.0,10181.125,9.0,129.75,5.0,1.875
2013-04-22,37.54,130.0,10195.5,9.0,134.25,5.0,2.125
2013-04-23,37.54,130.0,10125.75,9.0,133.125,5.375,3.125
2013-04-24,37.54,130.0,10066.5,9.0,137.375,6.75,2.5
2013-04-25,37.54,130.0,10055.42857142857,9.0,139.5,4.25,2.0
2013-04-26,37.54,130.0,10092.75,9.0,139.5,5.625,2.125
2013-04-27,37.54,130.0,10173.0,9.0,145.125,7.5,1.25
2013-04-28,37.54,130.0,10142.125,9.0,143.25,4.625,2.625
2013-04-29,37.54,130.0,10077.625,9.0,144.625,6.0,3.625
2013-04-30,37.54,130.0,10095.125,9.0,147.375,7.25,3.125
2013-05-01,37.54,130.0,10125.0,9.0,147.75,8.75,3.375
2013-05-02,37.54,130.0,10143.5,9.0,145.125,8.375,2.5
2013-05-03,37.54,130.0,10150.0,9.0,148.625,8.25,1.875
2013-05-04,37.54,130.0,10173.0,9.0,154.25,6.875,1.25
2013-05-05,37.54,130.0,10140.0,9.0,153.0,6.375,1.625
2013-05-06,37.54,130.0,10183.5,9.0,154.0,5.125,2.0
2013-05-07,37.54,130.0,10228.0,9.0,150.75,7.25,2.25
2013-05-08,37.54,130.0,10155.714285714286,9.0,151.625,4.75,3.0
2013-05-09,37.54,130.0,10090.857142857143,9.0,156.75,4.75,1.875
2013-05-10,37.54,130.0,9999.625,9.0,144.375,5.75,2.875
2013-05-11,37.54,130.0,10025.375,9.0,146.875,7.375,1.875
2013-05-12,37.54,130.0,10027.875,9.0,145.0,6.125,2.0
2013-05-13,37.54,130.0,10124.0,9.0,152.25,7.25,2.75
2013-05-14,37.54,130.0,10115.625,9.0,153.75,7.25,2.0
2013-05-15,37.54,130.0,10161.0,9.0,156.875,5.75,1.875
2013-05-16,37.54,130.0,10194.375,9.0,156.5,6.0,2.5
2013-05-17,37.54,130.0,10139.5,9.0,155.2941176470588,4.470588235294118,1.8823529411764706
2013-05-18,37.54,130.0,10067.636363636364,9.0,155.16666666666666,4.791666666666667,1.2916666666666667
2013-05-19,37.54,130.0,9993.454545454546,9.0,154.66666666666666,4.625,1.75
2013-05-20,37.54,130.0,10022.826086956522,9.0,160.0,4.666666666666667,1.0
2013-05-21,37.54,130.0,10063.09090909091,9.0,158.375,4.541666666666667,1.3333333333333333
2013-05-22,37.54,130.0,10110.190476190477,9.0,165.2608695652174,3.9565217391304346,1.0
2013-05-23,37.54,130.0,10135.304347826086,9.0,170.08333333333334,4.083333333333333,0.875
2013-05-24,37.54,130.0,10128.166666666666,9.0,165.375,3.4166666666666665,1.4583333333333333
2013-05-25,37.54,130.0,10163.227272727272,9.0,162.91666666666666,5.25,1.75
2013-05-26,37.54,130.0,10165.04347826087,9.0,161.83333333333334,5.333333333333333,1.1666666666666667
2013-05-27,37.54,130.0,10129.391304347826,9.0,160.20833333333334,5.625,1.625
2013-05-28,37.54,130.0,10054.611111111111,9.0,152.1578947368421,6.7894736842105265,3.6842105263157894
2013-05-29,37.54,130.0,10059.458333333334,9.0,157.66666666666666,5.416666666666667,2.0833333333333335
2013-05-30,37.54,130.0,10093.304347826086,9.0,159.375,4.541666666666667,1.4166666666666667
2013-05-31,37.54,130.0,10084.5,9.0,160.125,4.125,1.0
2013-06-01,37.54,130.0,10067.454545454546,9.0,170.5,4.416666666666667,0.4166666666666667
2013-06-02,37.54,130.0,10104.666666666666,9.0,166.88888888888889,4.0,1.0
2013-06-03,37.54,130.0,10143.666666666666,9.0,177.9090909090909,6.363636363636363,1.0
2013-06-04,37.54,130.0,10168.6,9.0,181.8,5.4,1.0
2013-06-05,37.54,130.0,10178.142857142857,9.0,177.57142857142858,5.428571428571429,1.2857142857142858
2013-06-06,37.54,130.0,10173.5,9.0,180.75,5.5,1.0
2013-06-07,37.54,130.0,10106.51494911326,9.0,177.8941913419672,5.807425157317963,2.331149390106572
2013-06-08,37.54,130.0,10114.5,9.0,184.5,6.5,1.0
2013-06-09,37.54,130.0,10104.8,9.0,185.7058823529412,5.0,1.1176470588235294
2013-06-10,37.54,130.0,10103.708333333334,9.0,188.25,4.791666666666667,1.1666666666666667
2013-06-11,37.54,130.0,10092.826086956522,9.0,187.95652173913044,4.6521739130434785,1.391304347826087
